Data File	C:\Users\User\Documents\OmniSEC Data\System 1\Standards_and_Kreith_June2020\2020-06-23_18;45;05_PEO_Std_green_01.vdt
Sample ID	PEO_Std_green
Method File Name	calibration_june_2020_2-0001.vcm
Date Acquired	Jun 23, 2020 - 18:45:05
Solvent	water+NaN3+NaNO3
Operator	admin : Administrator
Column Set	A6000M+A4000
System	System 1
Flow Rate (ml/min)	 0.700
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00233
Det. Temp (Deg C)	30.000
Col. Temp (Deg C)	30.000

Ret. Vol.	RI	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0,00000	18,921	25,788	87,054	-81,500	44,11206					
0,00233	18,998	25,788	87,054	-81,500	44,10962					
0,00467	18,921	25,788	87,054	-81,484	44,10779					
0,00700	18,921	25,788	87,054	-81,515	44,10779					
0,00933	18,937	25,788	87,054	-81,530	44,11023					
0,01167	18,921	25,788	87,054	-81,530	44,11206					
0,01400	18,906	25,788	87,054	-81,545	44,11450					
0,01633	18,906	25,788	87,054	-81,576	44,11572					
0,01867	18,891	25,788	87,054	-81,576	44,11511					
0,02100	18,845	25,788	87,054	-81,530	44,11145					
0,02333	18,799	25,788	87,054	-81,515	44,10779					
0,02567	18,738	25,788	87,054	-81,515	44,10657					
0,02800	18,662	25,788	87,054	-81,454	44,10474					
0,03033	18,647	25,788	87,054	-81,454	44,10352					
0,03267	18,647	25,788	87,054	-81,484	44,10413					
0,03500	18,662	25,788	87,054	-81,469	44,10413					
0,03733	18,662	25,788	87,054	-81,500	44,10229					
0,03967	18,677	25,788	87,054	-81,515	44,10046					
0,04200	18,662	25,788	87,054	-81,500	44,09986					
0,04433	18,647	25,788	87,054	-81,530	44,09802					
0,04667	18,647	25,788	87,054	-81,530	44,09742					
0,04900	18,662	25,788	87,054	-81,530	44,09802					
0,05133	18,662	25,788	87,054	-81,530	44,10047					
0,05367	18,647	25,788	87,054	-81,500	44,10169					
0,05600	18,662	25,788	87,054	-81,439	44,10230					
0,05833	18,647	25,788	87,054	-81,454	44,10047					
0,06067	18,647	25,788	87,054	-81,408	44,09803					
0,06300	18,632	25,788	87,054	-81,484	44,09375					
0,06533	18,632	25,788	87,054	-81,500	44,09009					
0,06767	18,616	25,788	87,054	-81,561	44,08704					
0,07000	18,616	25,788	87,054	-81,545	44,08459					
0,07233	18,616	25,788	87,054	-81,561	44,08093					
0,07467	18,647	25,788	87,054	-81,484	44,07971					
0,07700	18,662	25,788	87,054	-81,530	44,07666					
0,07933	18,662	25,788	87,054	-81,530	44,07483					
0,08167	18,662	25,788	87,054	-81,576	44,07361					
0,08400	18,662	25,788	87,054	-81,576	44,07483					
0,08633	18,677	25,788	87,054	-81,606	44,07422					
0,08867	18,662	25,788	87,054	-81,561	44,07544					
0,09100	18,677	25,788	87,054	-81,561	44,07727					
0,09333	18,677	25,788	87,054	-81,515	44,08093					
0,09567	18,693	25,788	87,054	-81,530	44,08215					
0,09800	18,662	25,788	87,054	-81,530	44,08459					
0,10033	18,677	25,788	87,054	-81,561	44,08643					
0,10267	18,677	25,788	87,054	-81,576	44,08826					
0,10500	18,693	25,788	87,054	-81,576	44,08948					
0,10733	18,677	25,788	87,054	-81,576	44,09253					
0,10967	18,708	25,788	87,054	-81,576	44,09558					
0,11200	18,708	25,788	87,054	-81,576	44,09985					
0,11433	18,708	25,788	87,054	-81,561	44,10352					
0,11667	18,693	25,788	87,054	-81,576	44,10352					
0,11900	18,677	25,788	87,054	-81,576	44,10474					
0,12133	18,647	25,788	87,054	-81,561	44,10474					
0,12367	18,647	25,788	87,054	-81,545	44,10474					
0,12600	18,632	25,788	87,054	-81,545	44,10474					
0,12833	18,632	25,788	87,054	-81,545	44,10718					
0,13067	18,662	25,788	87,054	-81,561	44,10718					
0,13300	18,693	25,788	87,054	-81,530	44,10901					
0,13533	18,693	25,788	87,054	-81,545	44,10779					
0,13767	18,708	25,788	87,054	-81,515	44,10535					
0,14000	18,723	25,788	87,054	-81,500	44,10291					
0,14233	18,662	25,788	87,054	-81,515	44,10046					
0,14467	18,647	25,788	87,283	-81,591	44,09680					
0,14700	18,647	25,941	87,130	-81,576	44,09375					
0,14933	18,647	25,712	87,283	-81,591	44,09253					
0,15167	18,632	25,788	87,207	-81,622	44,08887					
0,15400	18,662	25,742	87,252	-81,576	44,08582					
0,15633	18,647	25,758	87,237	-81,530	44,08215					
0,15867	18,632	25,758	87,237	-81,561	44,07849					
0,16100	18,616	25,758	87,207	-81,576	44,07544					
0,16333	18,601	25,803	87,191	-81,561	44,07605					
0,16567	18,571	25,834	87,130	-81,606	44,07666					
